Longitude,Latitude,polygon_area,polygon_perimeter,polygon_density
-1.2899583057967534,0.7123230893591589,7.619243212382207e-12,1.3972662449494209e-05,32.0
-1.2899586548626036,0.7123220130146092,7.619243212382207e-12,1.3972662449494209e-05,31.0
-1.289959149314381,0.7123208494035967,2.0104064316932894e-10,0.00011703483027046506,32.0
-1.2899596147936923,0.7123196276731204,2.0104064316932894e-10,0.00011703483027046506,32.0
-1.2899598765930802,0.7123185223561052,2.0104064316932894e-10,0.00011703483027046506,32.0
-1.2899602837783946,0.7123173297726271,2.0104064316932894e-10,0.00011703483027046506,32.0
-1.2899608365241686,0.712316166161615,3.602527453332781e-11,3.3311888692066985e-05,31.0
-1.2899613309759457,0.7123150025506025,3.602527453332781e-11,3.3311888692066985e-05,32.0
-1.2899617381612603,0.7123135773147355,3.602527453332781e-11,3.3311888692066985e-05,31.0
-1.2899620872271107,0.712312239170798,3.602527453332781e-11,3.3311888692066985e-05,30.0
-1.289962261760036,0.7123108137603978,3.602527453332781e-11,3.3311888692066985e-05,31.0
-1.2899627272393475,0.7123095339104574,3.602527453332781e-11,3.3311888692066985e-05,32.0
-1.2899633089575873,0.7123079049946665,2.217767124945041e-12,6.336339267315362e-06,33.0
-1.2899637163174345,0.712306624970193,2.217767124945041e-12,6.336339267315362e-06,33.0
-1.289964007089288,0.7123054032397167,2.217767124945041e-12,6.336339267315362e-06,32.0
-1.2899645017155978,0.7123043270696999,2.217767124945041e-12,6.336339267315362e-06,30.0
-1.2899646471015247,0.7123034544050739,2.217767124945041e-12,6.336339267315362e-06,30.0
-1.2899649670203766,0.7123027271263745,2.217767124945041e-12,6.336339267315362e-06,31.0
-1.289965228819764,0.7123020289946738,2.217767124945041e-12,6.336339267315362e-06,30.0
-1.289965548913149,0.712301388982437,2.217767124945041e-12,6.336339267315362e-06,29.0
-1.2899658688320008,0.7123004873453455,2.217767124945041e-12,6.336339267315362e-06,29.0
-1.2899661306313888,0.7122994691202599,2.217767124945041e-12,6.336339267315362e-06,29.0
-1.289966421577775,0.7122985383361697,2.217767124945041e-12,6.336339267315362e-06,27.0
-1.2899666833771628,0.7122975492580828,2.217767124945041e-12,6.336339267315362e-06,27.0
-1.2899669451765507,0.7122964147940689,2.217767124945041e-12,6.336339267315362e-06,27.0
-1.2899671778289397,0.712295222210591,3.7753521465751446e-11,3.7253744535657773e-05,27.0
-1.2899674977477917,0.7122940296271131,3.7753521465751446e-11,3.7253744535657773e-05,29.0
-1.2899677014277156,0.7122928951630993,3.7753521465751446e-11,3.7253744535657773e-05,29.0
-1.2899678468136422,0.7122919060850122,2.0615120961681468e-10,5.9357532034285505e-05,28.0
-1.2899683995594164,0.7122903352886855,2.0615120961681468e-10,5.9357532034285505e-05,27.0
-1.2899685740923417,0.7122898698093738,2.0615120961681468e-10,5.9357532034285505e-05,27.0
-1.2899688358917294,0.7122891427052074,2.0615120961681468e-10,5.9357532034285505e-05,27.0
-1.2899691268381157,0.7122883862795096,2.0615120961681468e-10,5.9357532034285505e-05,26.0
-1.2899695048764317,0.712287368228957,2.0615120961681468e-10,5.9357532034285505e-05,27.0
-1.289970668487444,0.7122839648369156,3.327427461601076e-11,3.509238825576464e-05,27.0
-1.2899711048197569,0.712283004905827,3.520158903226097e-12,8.892862886837341e-06,27.0
-1.289971599271534,0.7122820158277399,3.520158903226097e-12,8.892862886837341e-06,27.0
-1.2899722392837707,0.7122811723101125,3.520158903226097e-12,8.892862886837341e-06,27.0
-1.2899720066313813,0.7122798341661749,3.520158903226097e-12,8.892862886837341e-06,27.0
-1.289971337472146,0.7122793397143978,3.520158903226097e-12,8.892862886837341e-06,28.0
-1.2899683704124179,0.7122778561845337,2.7509085329407637e-11,2.8539162016492337e-05,29.0
-1.289967032443013,0.7122775071186833,2.7509085329407637e-11,2.8539162016492337e-05,29.0
-1.2899657234460742,0.7122771289058344,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.2899644434216009,0.7122766344540573,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.289963076305198,0.7122762562412084,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.289962116374109,0.7122758490558938,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.2899614182424084,0.7122754999900435,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.289959818299083,0.7122746854448816,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.2899592947003076,0.7122742201401031,3.5885455139906787e-12,1.0343488894080819e-05,30.0
-1.2899584220356815,0.7122739873131808,3.5885455139906787e-12,1.0343488894080819e-05,31.0
-1.2899574621045928,0.7122737546607915,3.5885455139906787e-12,1.0343488894080819e-05,31.0
-1.2899563567875776,0.7122734347419396,3.5885455139906787e-12,1.0343488894080819e-05,32.0
-1.28995501864364,0.7122730273820921,1.0092782353612114e-10,7.492935751624197e-05,34.0
-1.2899535642607745,0.7122726783162417,1.0092782353612114e-10,7.492935751624197e-05,34.0
-1.2899503935211223,0.7122718929180784,3.106031520918323e-12,8.444772481733842e-06,37.0
-1.28994879375233,0.7122715729992265,3.106031520918323e-12,8.444772481733842e-06,36.0
-1.289947310222466,0.7122712820528402,3.106031520918323e-12,8.444772481733842e-06,36.0
-1.2899461466114535,0.7122710785474494,3.106031520918323e-12,8.444772481733842e-06,37.0
-1.2899454776267512,0.7122710494004508,3.106031520918323e-12,8.444772481733842e-06,38.0
-1.2899411432760866,0.7122705549486738,3.106031520918323e-12,8.444772481733842e-06,37.0
-1.289939688893221,0.7122702348552891,3.106031520918323e-12,8.444772481733842e-06,37.0
-1.2899380889498957,0.712269914936437,3.106031520918323e-12,8.444772481733842e-06,36.0
-1.2899365181535691,0.7122695658705867,1.404444706250907e-10,7.746699085033787e-05,35.0
-1.2899348600907794,0.7122693040711989,1.404444706250907e-10,7.746699085033787e-05,36.0
-1.2899296532500222,0.7122684895260369,1.6190811864329448e-10,5.5267264808905094e-05,33.0
-1.289927588001918,0.7122672096760965,1.404444706250907e-10,7.746699085033787e-05,31.0
-1.2899274134689929,0.7122665988108583,1.404444706250907e-10,7.746699085033787e-05,29.0
-1.2899274424414586,0.712265871532159,1.404444706250907e-10,7.746699085033787e-05,28.0
-1.2899276752683808,0.7122649698950674,1.404444706250907e-10,7.746699085033787e-05,29.0
-1.289928606052471,0.7122626426730428,1.404444706250907e-10,7.746699085033787e-05,27.0
-1.2899290715317824,0.7122613919701006,1.404444706250907e-10,7.746699085033787e-05,26.0
-1.289929536836561,0.7122601702396245,1.404444706250907e-10,7.746699085033787e-05,25.0
-1.2899298859024113,0.7122591230420732,1.404444706250907e-10,7.746699085033787e-05,25.0
-1.2899300895823351,0.7122583666163753,1.404444706250907e-10,7.746699085033787e-05,27.0
-1.2899311948993504,0.712254963224334,1.404444706250907e-10,7.746699085033787e-05,26.0
-1.2899316312316633,0.7122538287603203,1.404444706250907e-10,7.746699085033787e-05,26.0
-1.2899320094445124,0.7122525780573783,1.404444706250907e-10,7.746699085033787e-05,27.0
