,Longitude,Latitude,polygon_area,polygon_perimeter
0,-73.90916667,40.81310667,2.5012500000687215e-08,0.0008005745869208761
1,-73.90918667,40.813045,2.5012500000687215e-08,0.0008005745869208761
2,-73.909215,40.81297833,6.599775000073614e-07,0.006705601830549934
3,-73.90924167,40.81290833,6.599775000073614e-07,0.006705601830549934
4,-73.90925667,40.812845,6.599775000073614e-07,0.006705601830549934
5,-73.90928,40.81277667,6.599775000073614e-07,0.006705601830549934
6,-73.90931167,40.81271,1.1826399999933906e-07,0.0019086306296616957
7,-73.90934,40.81264333,1.1826399999933906e-07,0.0019086306296616957
8,-73.90936333,40.81256167,1.1826399999933906e-07,0.0019086306296616957
9,-73.90938333,40.812485,1.1826399999933906e-07,0.0019086306296616957
10,-73.90939333,40.81240333,1.1826399999933906e-07,0.0019086306296616957
11,-73.90942,40.81233,1.1826399999933906e-07,0.0019086306296616957
12,-73.90945333,40.81223667,7.280500000316682e-09,0.00036304549757708527
13,-73.90947667,40.81216333,7.280500000316682e-09,0.00036304549757708527
14,-73.90949333,40.81209333,7.280500000316682e-09,0.00036304549757708527
15,-73.90952167,40.81203167,7.280500000316682e-09,0.00036304549757708527
16,-73.90953,40.81198167,7.280500000316682e-09,0.00036304549757708527
17,-73.90954833,40.81194,7.280500000316682e-09,0.00036304549757708527
18,-73.90956333,40.8119,7.280500000316682e-09,0.00036304549757708527
19,-73.90958167,40.81186333,7.280500000316682e-09,0.00036304549757708527
20,-73.9096,40.81181167,7.280500000316682e-09,0.00036304549757708527
21,-73.909615,40.81175333,7.280500000316682e-09,0.00036304549757708527
22,-73.90963167,40.8117,7.280500000316682e-09,0.00036304549757708527
23,-73.90964667,40.81164333,7.280500000316682e-09,0.00036304549757708527
24,-73.90966167,40.81157833,7.280500000316682e-09,0.00036304549757708527
25,-73.909675,40.81151,1.2393750000194386e-07,0.002134482332913572
26,-73.90969333,40.81144167,1.2393750000194386e-07,0.002134482332913572
27,-73.909705,40.81137667,1.2393750000194386e-07,0.002134482332913572
28,-73.90971333,40.81132,6.767544999928047e-07,0.0034009360678745456
29,-73.909745,40.81123,6.767544999928047e-07,0.0034009360678745456
30,-73.909755,40.81120333,6.767544999928047e-07,0.0034009360678745456
31,-73.90977,40.81116167,6.767544999928047e-07,0.0034009360678745456
32,-73.90978667,40.81111833,6.767544999928047e-07,0.0034009360678745456
33,-73.90980833,40.81106,6.767544999928047e-07,0.0034009360678745456
34,-73.909875,40.810865,1.0923300000151638e-07,0.002010645740084542
35,-73.9099,40.81081,1.1556000000104161e-08,0.0005095235112122501
36,-73.90992833,40.81075333,1.1556000000104161e-08,0.0005095235112122501
37,-73.909965,40.810705,1.1556000000104161e-08,0.0005095235112122501
38,-73.90995167,40.81062833,1.1556000000104161e-08,0.0005095235112122501
39,-73.90991333,40.8106,1.1556000000104161e-08,0.0005095235112122501
40,-73.90974333,40.810515,9.030700000222248e-08,0.0016351735343923441
41,-73.90966667,40.810495,9.030700000222248e-08,0.0016351735343923441
42,-73.90959167,40.81047333,1.1780499999713062e-08,0.0005926382590601951
43,-73.90951833,40.810445,1.1780499999713062e-08,0.0005926382590601951
44,-73.90944,40.81042333,1.1780499999713062e-08,0.0005926382590601951
45,-73.909385,40.8104,1.1780499999713062e-08,0.0005926382590601951
46,-73.909345,40.81038,1.1780499999713062e-08,0.0005926382590601951
47,-73.90925333,40.81033333,1.1780499999713062e-08,0.0005926382590601951
48,-73.90922333,40.81030667,1.1780499999713062e-08,0.0005926382590601951
49,-73.90917333,40.81029333,1.1780499999713062e-08,0.0005926382590601951
50,-73.90911833,40.81028,1.1780499999713062e-08,0.0005926382590601951
51,-73.909055,40.81026167,1.1780499999713062e-08,0.0005926382590601951
52,-73.90897833,40.81023833,3.3132650000035056e-07,0.00429313594729024
53,-73.908895,40.81021833,3.3132650000035056e-07,0.00429313594729024
54,-73.90871333,40.81017333,1.0196499999245374e-08,0.0004838498221288537
55,-73.90862167,40.810155,1.0196499999245374e-08,0.0004838498221288537
56,-73.90853667,40.81013833,1.0196499999245374e-08,0.0004838498221288537
57,-73.90847,40.81012667,1.0196499999245374e-08,0.0004838498221288537
58,-73.90843167,40.810125,1.0196499999245374e-08,0.0004838498221288537
59,-73.90818333,40.81009667,1.0196499999245374e-08,0.0004838498221288537
60,-73.9081,40.81007833,1.0196499999245374e-08,0.0004838498221288537
61,-73.90800833,40.81006,1.0196499999245374e-08,0.0004838498221288537
62,-73.90791833,40.81004,4.6105199999747856e-07,0.00443853162730898
63,-73.90782333,40.810025,4.6105199999747856e-07,0.00443853162730898
64,-73.907525,40.80997833,5.315129999984624e-07,0.003166581018789042
65,-73.90740667,40.809905,4.6105199999747856e-07,0.00443853162730898
66,-73.90739667,40.80987,4.6105199999747856e-07,0.00443853162730898
67,-73.90739833,40.80982833,4.6105199999747856e-07,0.00443853162730898
68,-73.90741167,40.80977667,4.6105199999747856e-07,0.00443853162730898
69,-73.907465,40.80964333,4.6105199999747856e-07,0.00443853162730898
70,-73.90749167,40.80957167,4.6105199999747856e-07,0.00443853162730898
71,-73.90751833,40.80950167,4.6105199999747856e-07,0.00443853162730898
72,-73.90753833,40.80944167,4.6105199999747856e-07,0.00443853162730898
73,-73.90755,40.80939833,4.6105199999747856e-07,0.00443853162730898
74,-73.90761333,40.80920333,4.6105199999747856e-07,0.00443853162730898
75,-73.90763833,40.80913833,4.6105199999747856e-07,0.00443853162730898
76,-73.90766,40.80906667,4.6105199999747856e-07,0.00443853162730898
77,-73.90768,40.80899,4.29722999999366e-07,0.0037984841741943473
78,-73.90770167,40.80891167,4.29722999999366e-07,0.0037984841741943473
79,-73.90772667,40.808825,4.29722999999366e-07,0.0037984841741943473
80,-73.90775667,40.808735,4.29722999999366e-07,0.0037984841741943473
81,-73.907785,40.80864333,4.29722999999366e-07,0.0037984841741943473
