Latitude,Longitude,lst_median_res10,lst_median_res250,lst_median_res500
40.81310667,-73.90916667,40.76262896,39.472107306153866,39.29660960546328
40.813045,-73.90918667,40.76262896,39.32866001807694,39.30196943569134
40.81297833,-73.909215,39.926923070000015,39.29128378486844,39.31833358312905
40.81290833,-73.90924167,39.926923070000015,39.31341039038463,39.35885469811503
40.812845,-73.90925667,39.550940870000005,39.299801850500025,39.380734324857166
40.81277667,-73.90928,39.550940870000005,39.25606092936712,39.4074547851911
40.81271,-73.90931167,39.550940870000005,39.21674177346156,39.39767424070065
40.81264333,-73.90934,39.550940870000005,39.22400725700002,39.43697974285716
40.81256167,-73.90936333,39.330478580000005,39.153974623164586,39.44714590048079
40.812485,-73.90938333,39.330478580000005,39.14684764653849,39.49434634653848
40.81240333,-73.90939333,39.330478580000005,39.11654946746838,39.53672624714288
40.81233,-73.90942,39.330478580000005,39.09023449925002,39.54450759031849
40.81223667,-73.90945333,39.145905500000026,39.04804331487502,39.56172119657145
40.81216333,-73.90947667,38.53066190000001,39.03026249000003,39.57724428673079
40.81209333,-73.90949333,38.53066190000001,39.08433675012989,39.62399967369777
40.81203167,-73.90952167,38.77675934000001,39.039605078000015,39.642837250160795
40.81198167,-73.90953,38.77675934000001,39.02611943545457,39.64783454699031
40.81194,-73.90954833,38.77675934000001,39.02182237921055,39.653392977572835
40.8119,-73.90956333,38.77675934000001,38.96497238935066,39.66775445996776
40.81186333,-73.90958167,38.77675934000001,38.95648310412501,39.66313491945689
40.81181167,-73.9096,38.77675934000001,38.91415076417723,39.68081467480772
40.81175333,-73.909615,39.15615956000005,38.93032922576925,39.67231880067095
40.8117,-73.90963167,39.15615956000005,38.83893269113926,39.69866857363346
40.81164333,-73.90964667,39.15615956000005,38.74597496506495,39.71651573203885
40.81157833,-73.90966167,39.15615956000005,38.805461943846176,39.72179241311899
40.81151,-73.909675,39.15615956000005,38.904762025696215,39.75625536342859
40.81144167,-73.90969333,39.43814621000001,38.91521051262502,39.75920137114287
40.81137667,-73.909705,39.43814621000001,38.905865310632926,39.76360614313101
40.81132,-73.90971333,39.43814621000001,38.93474782000002,39.78572423113926
40.81123,-73.909745,39.52017869000002,38.89221486367091,39.79680898597446
40.81120333,-73.909755,39.52017869000002,38.89221486367091,39.81012428721155
40.81116167,-73.90977,39.52017869000002,38.89764475620255,39.829902626900974
40.81111833,-73.90978667,39.52017869000002,38.92944532202534,39.843599338000026
40.81106,-73.90980833,39.52017869000002,38.94505409975002,39.84209106885716
40.810865,-73.909875,39.561194930000056,39.04991971050636,39.88829401857144
40.81081,-73.9099,39.561194930000056,39.10543701961541,39.88649841038463
40.81075333,-73.90992833,39.561194930000056,39.2090278953247,39.89558574240386
40.810705,-73.909965,39.561194930000056,39.19470466391893,39.92346094651615
40.81062833,-73.90995167,39.42105611000002,39.30105293346157,39.9369738072669
40.8106,-73.90991333,39.42105611000002,39.33444435961541,39.94235858707008
40.810515,-73.90974333,39.42105611000002,39.5780470665823,39.941133977993644
40.810495,-73.90966667,39.98844743000004,39.68772575787502,39.95112134535034
40.81047333,-73.90959167,39.98844743000004,39.81611864949369,39.9760257119489
40.810445,-73.90951833,39.98844743000004,39.995283470000025,40.00361489375002
40.81042333,-73.90944,39.88932485000004,40.09050600153849,40.02510705085716
40.8104,-73.909385,39.88932485000004,40.20843379316458,40.0595639477143
40.81038,-73.909345,39.88932485000004,40.248259675250026,40.059059382857164
40.81033333,-73.90925333,39.88932485000004,40.39361426230772,40.079303424888195
40.81030667,-73.90922333,39.88932485000004,40.39361426230772,40.08708093639873
40.81029333,-73.90917333,40.87884164000002,40.4193842892208,40.10027420407769
40.81028,-73.90911833,40.87884164000002,40.520388339864894,40.10814979816131
40.81026167,-73.909055,40.87884164000002,40.796626865600025,40.15777088230771
40.81023833,-73.90897833,40.87884164000002,40.84595415269233,40.18019175774922
40.81021833,-73.908895,41.40521672,40.86728959772153,40.189207430664574
40.81017333,-73.90871333,41.40521672,41.16459687615386,40.26207037189713
40.810155,-73.90862167,41.95551794000002,41.24359320285716,40.33224419086819
40.81013833,-73.90853667,41.95551794000002,41.26724702807694,40.338132577714305
40.81012667,-73.90847,41.95551794000002,41.26176669312502,40.33145547186711
40.810125,-73.90843167,41.95551794000002,41.3409754723077,40.361430698439506
40.81009667,-73.90818333,41.95551794000002,41.500233237013,40.46466031003228
40.81007833,-73.9081,41.965772000000015,41.529130761519006,40.48883041487344
40.81006,-73.90800833,41.965772000000015,41.595201665000026,40.531379224713405
